011	0,35	0,25	0,4	0,4	0,4	0,25	0,25	0,25	0,4	-
012	0,35	0,25	0,4	0,4	0,4	0,25	0,25	0,35	0,4	-
013	0,35	0,4	0,25	0,35	0,25	0,25	0,25	0,35	0,25	-
014	0,5	0,2	0,3	0,4	0,25	0,2	0,2	0,5	0,3	-
015	0,35	0,4	0,25	0,25	0,3	0,4	0,3	0,3	0,25	-
016	0,4	0,3	0,3	0,3	0,5	0,3	0,3	0,3	0,3	-
017	0,25	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,25
021	0,25	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,2	0,6
022	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,6
023	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,6
024	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,6
025	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,6
026	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,1	0,6
027	0,25	0,25	0,5	0,25	0,2	0,2	0,2	0,25	0,5	-
028	0,3	0,4	0,3	0,3	0,2	0,2	0,2	0,3	0,4	-
029	0,35	0,25	0,4	0,3	0,2	0,2	0,2	0,35	0,4	-
031	0,3	0,25	0,45	0,45	0,2	0,2	0,2	0,45	0,45	-
032	0,25	0,25	0,5	0,5	0,2	0,2	0,2	0,25	0,25	-
033	0,35	0,25	0,4	0,4	0,2	0,2	0,2	0,35	0,25	-
034	0,25	0,25	0,5	0,5	0,2	0,2	0,2	0,5	0,25	-
035 0,4	0,3	0,3	0,4	0,2	0,2	0,2	0,4	0,3	-
041	0,3	0,25	0,45	0,45	0,2	0,2	0,2	0,45	0,25	-
051	0,35	0,4	0,25	0,25	0,2	0,2	0,2	0,25	0,35	-
052	0,35	0,4	0,25	0,25	0,2	0,2	0,2	0,25	0,25	-
053	0,35	0,4	0,25	0,25	0,4	0,2	0,2	0,25	0,25	-
054	0,35	0,4	0,25	0,25	0,2	0,2	0,2	0,25	0,25	-
061	0,45	0,3	0,25	0,35	0,2	0,2	0,2	0,45	0,25	-
071	0,35	0,4	0,25	0,25	0,2	0,2	0,2	0,25	0,35	-
072	0,35	0,4	0,25	0,25	0,2	0,2	0,2	0,25	0,35	-
073	0,35	0,4	0,25	0,25	0,2	0,2	0,2	0,25	0,35	-
075	0,35	0,4	0,25	0,25	0,2	0,2	0,2	0,25	0,35	-
076	0,35	0,4	0,25	0,25	0,2	0,2	0,2	0,25	0,35	-
081	0,35	0,25	0,4	0,4	0,25	0,25	0,25	0,35	0,25	-
091	0,3	0,35	0,35	0,3	0,5	0,35	0,35	0,2	0,35	-
101	0,3	0,35	0,35	0,3	0,4	0,35	64	0,3	0,4	-
102	0,3	0,35	0,35	0,3	0,35	0,35	0,5	0,2	0,35	-
103	0,35	0,4	0,25	0,3	0,35	0,4	0,4	0,25	0,5	-
104	0,3	0,5	0,2	0,3	0,25	0,5	0,3	0,2	0,2	-
105 0,3	0,5	0,2	0,3	0,25	0,5	0,4	0,2	0,2	-
106	0,3	0,35	0,35	0,35	0,35	0,35	0,35	0,2	0,5	-
111	0,3	0,5	0,2	0,2	0,2	0,4	0,2	0,2	0,2	-
112	0,3	0,5	0,2	0,2	0,2	0,4	0,2	0,2	0,2	-
113	0,3	0,5	0,2	0,3	0,2	0,4	0,2	0,2	0,2	-
121	0,3	0,5	0,2	0,3	0,2	0,4	0,2	0,2	0,2	-
122	0,3	0,5	0,2	0,3	0,2	0,4	0,2	0,2	0,2	-
123	0,3	0,5	0,2	0,3	0,2	0,4	0,2	0,2	0,2	-
124	0,3	0,5	0,2	0,3	0,2	0,4	0,2	0,2	0,2	-
125	0,3	0,5	0,2	0,3	0,2	0,4	0,2	0,2	0,2	-
126	0,3	0,5	0,2	0,3	0,2	0,4	0,2	0,2	0,2	-
131	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
132	0,3	0,5	0,2	0,25	0,2	0,5	0,5	0,2	0,2	-
133	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
134	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
135	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
136	0,3	0,5	0,2	0,25	0,2	0,5	0,5	0,2	0,2	-
141	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
142	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
143	0,3	0,5	0,2	0,25	0,2	0,5	0,5	0,2	0,2	-
144	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
145	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
161	0,3	0,5	0,2	0,25	0,3	0,2	0,5	0,2	0,2	-
162	0,35	0,35	0,3	0,3	0,5	0,5	0,5	0,25	0,3	-
163	0,35	0,35	0,3	0,3	0,5	0,5	0,5	0,25	0,3	-
171	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
172	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
173	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
174	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
175	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
176	0,3	0,5	0,2	0,25	0,2	0,5	0,2	0,2	0,2	-
